,Credit_History,Total_Income,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_3,Dependents_0,Dependents_1,Dependents_2,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,EMI,Balance Income
0,1.0,5849.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,12.5568,-6707.800000000001
1,1.0,6091.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,12.5568,-6465.800000000001
2,1.0,3000.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,6.4746,-3474.5999999999995
3,1.0,4941.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,11.772,-6831.0
4,1.0,6000.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,13.8321,-7832.1
5,1.0,9613.0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,26.1927,-16579.699999999997
6,1.0,3849.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,9.3195,-5470.5
7,0.0,5540.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,15.4998,-9959.800000000001
8,1.0,5532.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,16.4808,-10948.8
9,1.0,23809.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,34.2369,-10427.900000000001
10,1.0,3900.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,6.867000000000001,-2967.000000000001
11,1.0,4340.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,10.692900000000002,-6352.9000000000015
12,1.0,11179.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,19.62,-8441.0
13,1.0,4693.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,11.1834,-6490.4000000000015
14,1.0,2385.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1.6677000000000002,717.2999999999997
15,1.0,4950.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,12.262500000000001,-7312.500000000002
16,1.0,3596.0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,9.810000000000002,-6214.000000000002
17,0.0,3510.0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,7.4556000000000004,-3945.6000000000004
18,1.0,4887.0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,13.047299999999998,-8160.299999999997
19,1.0,6100.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,11.2815,-5181.5
20,0.0,7660.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,10.202399999999999,-2542.3999999999996
21,1.0,11580.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,30.901500000000002,-19321.500000000004
22,0.0,4511.0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,11.3796,-6868.6
23,0.0,5282.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,10.987200000000001,-5705.200000000001
24,1.0,6642.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,14.8131,-8171.1
25,1.0,9560.0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,18.737099999999998,-9177.099999999999
26,1.0,5052.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,11.968200000000003,-6916.200000000003
27,1.0,5266.0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,10.791000000000002,-5525.000000000002
28,1.0,1442.0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,3.4335000000000004,-1991.5000000000005
29,1.0,5833.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,11.772,-5939.0
30,1.0,7535.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,19.7181,-12183.099999999999
31,1.0,3167.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,7.2594,-4092.4000000000005
32,1.0,4692.0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,10.3986,-5706.6
33,1.0,5167.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,11.1834,-6016.4000000000015
34,1.0,15500.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,31.392,-15892.0
35,1.0,4342.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,12.5568,-8214.800000000001
36,0.0,3158.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,9.81,-6652.0
37,1.0,5126.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,14.1264,-9000.4
38,1.0,11376.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,18.0504,-6674.4000000000015
39,1.0,5416.0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,10.791000000000002,-5375.000000000002
40,1.0,3600.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,7.848,-4248.0
41,1.0,3013.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,4.6107,-1597.6999999999998
42,1.0,2400.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,7.3575,-4957.5
43,1.0,6277.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,13.145399999999999,-6868.399999999998
44,1.0,4695.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,9.4176,-4722.6
45,1.0,3410.0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,8.6328,-5222.799999999999
46,1.0,5649.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4.3164,1332.6000000000004
47,1.0,5821.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,14.1264,-8305.4
48,0.0,6085.0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,11.772,-5687.0
49,1.0,6275.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,14.1264,-7851.4
50,1.0,3572.0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,9.81,-6238.0
51,1.0,3086.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,11.772,-8686.0
52,1.0,4230.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,10.987200000000001,-6757.200000000001
53,1.0,4616.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,13.145399999999999,-8529.399999999998
54,0.0,11500.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,28.0566,-16556.6
55,1.0,3875.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,9.5157,-5640.700000000001
56,1.0,3723.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,9.4176,-5694.6
57,1.0,5566.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,13.243500000000001,-7677.500000000002
58,1.0,10330.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,17.658,-7328.0
59,1.0,6216.0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,14.1264,-7910.4
60,1.0,6296.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,11.772,-5476.0
61,1.0,3029.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,9.711900000000002,-6682.9000000000015
62,0.0,6058.0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,16.1865,-10128.499999999998
63,0.0,4945.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,12.5568,-7611.800000000001
64,0.0,4166.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,11.3796,-7213.6
65,1.0,10321.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,25.3098,-14988.8
66,0.0,5454.0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,12.3606,-6906.6
67,1.0,10750.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,30.6072,-19857.199999999997
68,1.0,7100.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,12.262500000000001,-5162.500000000002
69,0.0,4300.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,13.3416,-9041.6
70,1.0,6274.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,16.873199999999997,-10599.199999999997
71,1.0,3750.0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,9.5157,-5765.700000000001
72,1.0,3500.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,7.946100000000001,-4446.100000000001
73,0.0,4755.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,9.3195,-4564.5
74,1.0,7040.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,18.3447,-11304.7
75,1.0,3750.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,11.085300000000002,-7335.300000000001
76,1.0,8500.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,17.2656,-8765.599999999999
77,1.0,4022.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,10.791000000000002,-6769.000000000002
78,0.0,7167.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,17.658,-10491.0
79,1.0,5499.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,12.753,-7254.0
80,1.0,3846.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,10.889100000000001,-7043.1
81,1.0,2395.0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,12.5568,-10161.800000000001
82,1.0,3259.0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,16.3827,-13123.7
83,1.0,8250.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,25.996499999999997,-17746.499999999996
84,1.0,3988.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4.905000000000001,-917.0000000000009
85,1.0,4897.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,13.3416,-8444.6
86,1.0,5333.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,9.711900000000002,-4378.9000000000015
87,1.0,4618.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,10.202399999999999,-5584.4
88,1.0,8566.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,20.601,-12035.0
89,1.0,9862.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,17.1675,-7305.5
90,1.0,5858.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,12.851099999999999,-6993.0999999999985
91,1.0,11904.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,18.4428,-6538.799999999999
92,1.0,5093.0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,7.946100000000001,-2853.1000000000013
93,1.0,4133.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,11.968200000000003,-7835.200000000003
94,1.0,3620.0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,2.4525,1167.5
95,1.0,6782.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,12.5568,-5774.800000000001
96,1.0,4786.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,13.4397,-8653.7
97,1.0,2974.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,4.905,-1931.0
98,1.0,4188.0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,11.281500000000001,-7093.500000000002
99,1.0,5300.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,12.851099999999999,-7551.0999999999985
100,1.0,7551.0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,13.047299999999998,-5496.299999999997
101,1.0,8649.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,14.8131,-6164.1
102,1.0,13650.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,12.5568,1093.199999999999
103,1.0,8235.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,12.5568,-4321.800000000001
104,1.0,4570.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,15.696,-11126.0
105,1.0,4082.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,9.81,-5728.0
106,1.0,12543.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,22.0725,-9529.5
107,1.0,7333.0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,11.772,-4439.0
108,0.0,7400.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,21.1896,-13789.599999999999
109,1.0,2825.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,9.221400000000001,-6396.4000000000015
110,1.0,5316.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,13.3416,-8025.6
111,1.0,5262.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,13.6359,-8373.9
112,0.0,7686.0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,14.911200000000001,-7225.200000000001
113,1.0,7451.0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,12.5568,-5105.800000000001
114,1.0,5050.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,11.5758,-6525.799999999999
115,1.0,14583.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,18.1485,-3565.5
116,1.0,5450.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,15.1074,-9657.4
117,1.0,3612.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,8.3385,-4726.5
118,1.0,7710.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,17.1675,-9457.5
119,1.0,10408.0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,25.4079,-14999.900000000001
120,1.0,8334.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,17.658,-9324.0
121,1.0,4166.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,4.3164,-150.39999999999964
122,0.0,11117.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,13.4397,-2322.7000000000007
123,1.0,2957.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,7.946100000000001,-4989.100000000001
124,1.0,6314.0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,19.0314,-12717.400000000001
125,1.0,3692.0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,9.1233,-5431.300000000001
126,1.0,23803.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,36.297,-12494.0
127,1.0,5505.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,12.5568,-7051.800000000001
128,0.0,14363.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,15.695999999999998,-1332.9999999999982
129,1.0,8649.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,17.8542,-9205.199999999997
130,1.0,20166.0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,63.765,-43599.0
131,1.0,3943.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,7.2594,-3316.4000000000005
132,1.0,2718.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,6.867000000000001,-4149.000000000001
133,1.0,3459.0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,2.4525,1006.5
134,1.0,4895.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,10.0062,-5111.199999999999
135,1.0,11750.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,28.448999999999998,-16698.999999999996
136,1.0,4583.0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,8.2404,-3657.3999999999996
137,1.0,6816.0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,8.6328,-1816.7999999999993
138,0.0,14999.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,23.7402,-8741.2
139,1.0,5630.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,12.6549,-7024.9
140,1.0,7125.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,18.1485,-11023.5
141,1.0,5417.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,16.4808,-11063.8
142,1.0,6950.0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,17.1675,-10217.5
143,1.0,4732.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,11.968200000000003,-7236.200000000003
144,1.0,11757.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,18.3447,-6587.700000000001
145,1.0,6816.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,9.81,-2994.0
146,1.0,14866.0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,6.867000000000001,7998.999999999999
147,1.0,2963.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2.943,20.0
148,1.0,11666.0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,22.0725,-10406.5
149,1.0,5690.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,12.262500000000001,-6572.500000000002
150,0.0,6277.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,11.5758,-5298.799999999999
151,1.0,6327.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,14.911200000000001,-8584.2
152,1.0,9166.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,23.936400000000006,-14770.400000000005
153,1.0,2281.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,11.0853,-8804.3
154,1.0,3254.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,4.905,-1651.0
155,0.0,39999.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,58.86000000000001,-18861.000000000007
156,1.0,6000.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,15.696,-9696.0
157,1.0,9538.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,18.3447,-8806.7
158,1.0,5063.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,11.772,-6709.0
159,1.0,10208.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,25.015500000000003,-14807.500000000004
160,1.0,2904.0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,9.6138,-6709.799999999999
161,1.0,7933.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,26.9775,-19044.5
162,0.0,4369.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,11.8701,-7501.1
163,1.0,5614.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,15.4998,-9885.800000000001
164,1.0,9323.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,7.357500000000001,1965.499999999999
165,1.0,6873.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,17.8542,-10981.199999999997
166,1.0,4583.0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,10.987200000000001,-6404.200000000001
167,1.0,5772.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,12.6549,-6882.9
168,0.0,2237.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,6.180300000000001,-3943.300000000001
169,1.0,8000.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,19.62,-11620.0
170,1.0,3589.0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,9.3195,-5730.5
171,1.0,51763.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,68.67,-16907.0
172,1.0,3522.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,7.9461,-4424.1
173,1.0,11333.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,18.3447,-7011.700000000001
174,1.0,5080.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,8.5347,-3454.7000000000007
175,1.0,5461.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,11.3796,-5918.6
176,1.0,3664.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,9.908100000000001,-6244.1
177,0.0,16816.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,48.5595,-31743.5
178,1.0,3750.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,11.3796,-7629.6
179,0.0,3784.0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,10.0062,-6222.199999999999
180,0.0,13650.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,17.658,-4008.0
181,1.0,6979.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,6.572699999999999,406.3000000000011
182,1.0,4600.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,7.1613,-2561.3
183,1.0,33846.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,25.506,8340.0
184,1.0,3625.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,10.5948,-6969.799999999999
185,1.0,43897.0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,11.772,32125.0
186,0.0,2178.0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,6.474600000000001,-4296.6
187,1.0,4521.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,5.6898,-1168.8000000000002
188,1.0,5970.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,16.4808,-10510.8
189,1.0,9328.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,18.4428,-9114.8
190,1.0,4885.0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,4.7088,176.19999999999982
191,1.0,12000.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,16.0884,-4088.3999999999996
192,1.0,6033.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,15.696,-9663.0
193,1.0,3858.0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,7.4556000000000004,-3597.6000000000004
194,1.0,4191.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,11.772,-7581.0
195,1.0,5708.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,16.677,-10969.0
196,1.0,12083.0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,18.3447,-6261.700000000001
197,1.0,4272.0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,11.772,-7500.0
198,1.0,6232.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,11.0853,-4853.299999999999
199,1.0,11000.0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,8.1423,2857.7
200,1.0,5100.0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,8.829,-3729.0
201,0.0,4923.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,16.2846,-11361.6
202,1.0,3992.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,12.556799999999999,-8564.8
203,1.0,4583.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,13.243500000000001,-8660.500000000002
204,1.0,3917.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,12.164400000000002,-8247.400000000001
205,1.0,4408.0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,11.772,-7364.0
